,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nandurbar,-46.1927,168.8643,38.48,92,94,4.05,NZ,1627145383
1,nandurbar,-20.4081,57.7,70.09,78,20,5.75,MU,1627145336
2,nandurbar,69.3,139.9,43.99,80,59,4.74,RU,1627145212
3,nandurbar,-33.65,115.3333,56.08,75,97,15.7,AU,1627145182
4,nandurbar,40.1292,124.3947,72.5,85,29,2.95,CN,1627145454
5,nandurbar,51.0333,-4.2167,74.01,85,73,10.85,GB,1627145454
6,nandurbar,55.7435,-97.8558,64.56,72,90,12.66,CA,1627145207
7,nandurbar,1.7427,98.7792,77.65,84,99,2.93,ID,1627145438
8,nandurbar,19.7297,-155.09,74.8,94,90,5.75,US,1627145250
9,nandurbar,37.5683,126.9778,80.2,82,0,2.3,KR,1627145370
10,nandurbar,-9.8,-139.0333,77.85,70,99,16.28,PF,1627145456
11,nandurbar,-21.2078,-159.775,66.25,94,74,3.44,CK,1627145456
12,nandurbar,3.0707,172.7902,83.35,73,6,16.15,KI,1627145392
13,nandurbar,-8.103,156.8419,80.76,80,84,4.81,SB,1627145457
14,nandurbar,38.5167,-28.7,73.8,88,75,11.5,PT,1627145145
15,nandurbar,54.4333,113.6,54.81,82,79,4.88,RU,1627145457
16,nandurbar,-34.5833,150.8552,57.2,61,53,11.99,AU,1627145418
17,nandurbar,-0.8667,134.0833,78.49,72,100,2.04,ID,1627145458
18,nandurbar,65.282,-126.8329,57.24,62,75,12.66,CA,1627145288
19,nandurbar,-33.918,25.5701,59.29,72,0,11.5,ZA,1627145386
20,nandurbar,-37.8333,140.7667,40.91,87,75,16.11,AU,1627145419
21,nandurbar,-0.1303,-67.0892,84.0,84,40,3.44,BR,1627145459
22,nandurbar,-54.8,-68.3,38.82,87,40,1.14,AR,1627145106
23,nandurbar,-13.7,-76.2167,66.25,63,75,3.44,PE,1627145460
24,nandurbar,60.1432,-45.2371,43.7,96,100,12.39,GL,1627145355
25,nandurbar,-34.4187,19.2345,54.81,60,64,0.4,ZA,1627145377
26,nandurbar,-38.2667,141.9667,42.08,92,99,17.16,AU,1627145460
27,nandurbar,22.0752,-159.319,79.12,82,90,3.0,US,1627145383
28,nandurbar,62.456,-114.3525,50.56,62,75,1.99,CA,1627145405
29,nandurbar,48.4111,-114.3376,73.38,35,1,4.61,US,1627145381
30,nandurbar,-3.5,29.95,63.88,47,76,3.98,BI,1627145461
31,nandurbar,37.15,122.3833,75.45,82,68,2.57,CN,1627145462
32,nandurbar,41.1415,-73.3579,85.28,58,1,1.01,US,1627145463
33,nandurbar,-23.1203,-134.9692,68.77,55,0,2.33,PF,1627145377
34,nandurbar,42.6001,-73.9662,81.81,53,7,3.4,US,1627145382
35,nandurbar,21.05,71.4333,82.02,81,82,12.37,IN,1627145463
36,nandurbar,42.097,-79.2353,81.18,56,1,7.0,US,1627145117
37,nandurbar,61.1333,74.8167,60.82,96,100,6.11,RU,1627145307
38,nandurbar,26.326,43.975,108.05,12,2,3.83,SA,1627145425
39,nandurbar,71.2906,-156.7887,39.22,93,90,3.44,US,1627145102
40,nandurbar,47.6666,-52.7314,66.97,74,75,13.8,CA,1627145465
41,nandurbar,57.79,-152.4072,54.91,88,90,4.61,US,1627145426
42,nandurbar,-21.95,27.9,53.04,45,0,8.46,BW,1627145466
43,nandurbar,-53.15,-70.9167,41.02,81,75,17.27,CL,1627145376
44,nandurbar,22.8909,-109.9124,94.6,66,2,8.01,MX,1627145138
45,nandurbar,7.3106,122.8464,82.72,78,73,9.82,PH,1627145466
46,nandurbar,-30.1811,-50.2056,70.12,51,0,5.7,BR,1627145400
47,nandurbar,55.3422,-131.6461,55.87,94,90,10.36,US,1627145467
48,nandurbar,11.6667,92.75,82.36,84,100,21.27,IN,1627145411
49,nandurbar,-20.7333,139.5,47.97,53,64,0.0,AU,1627145411
50,nandurbar,66.0449,-17.3389,58.91,70,97,15.61,IS,1627145425
51,nandurbar,18.3833,77.8833,77.79,82,98,13.24,IN,1627145468
52,nandurbar,-21.2,-175.2,69.96,100,40,2.3,TO,1627145140
53,nandurbar,70.9963,24.6622,45.48,84,100,22.26,NO,1627145469
54,nandurbar,-6.6603,-69.8736,95.83,31,24,2.06,BR,1627145469
55,nandurbar,12.2833,-10.9667,86.25,66,96,3.62,ML,1627145469
56,nandurbar,27.181,31.1837,100.58,16,0,11.1,EG,1627145470
57,nandurbar,-24.7911,-50.0119,71.04,39,0,7.16,BR,1627145401
58,nandurbar,20.6667,76.7667,80.06,79,100,13.6,IN,1627145472
59,nandurbar,-33.0153,27.9116,58.14,72,0,11.5,ZA,1627145237
60,nandurbar,12.2188,125.4808,81.03,75,36,9.57,PH,1627145472
61,nandurbar,41.3712,-73.414,83.8,51,1,6.91,US,1627145421
62,nandurbar,64.3833,-173.3,46.74,98,100,11.63,RU,1627145398
63,nandurbar,32.7701,-108.2803,66.63,90,75,3.0,US,1627145473
64,nandurbar,37.3489,-108.5859,80.42,76,1,3.44,US,1627145473
65,nandurbar,64.5011,-165.4064,46.47,87,90,3.44,US,1627145474
66,nandurbar,46.4083,-105.8406,77.97,18,1,3.44,US,1627145474
67,nandurbar,-34.5322,20.0403,54.72,76,59,6.91,ZA,1627145388
68,nandurbar,-4.3831,-70.0311,86.13,69,75,4.61,BR,1627145475
69,nandurbar,4.2333,13.45,73.62,83,89,2.84,CM,1627145475
70,nandurbar,15.0,-83.2333,86.09,68,100,11.95,HN,1627145381
71,nandurbar,-12.7406,-60.1458,86.22,37,20,13.8,BR,1627145465
72,nandurbar,15.7432,-96.4661,91.81,50,100,3.56,MX,1627145470
73,nandurbar,-38.0023,-57.5575,51.82,60,0,14.0,AR,1627145326
